,time(%),totaltime(ns),instances,avgtime(ns),kernel,ipc,divergence,glbefficiency,warpefficiency,l2hitrate,compmemratio
0,77.8,95871,1,95871.0,"bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)",0.04,0.00,70.25,32.00,57.65,3.26
1,22.2,27360,1,27360.0,"bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)",0.37,0.00,68.00,30.74,58.27,1.00
