,time(%),totaltime(ns),instances,avgtime(ns),kernel,ipc,divergence,glbefficiency,warpefficiency,l2hitrate,compmemratio
0,50.1,856986,127,6747.9,"needle_cuda_shared_2(int *, int *, int, int, int, int)",0.10,3.23,54.73,11.86,51.36,0.60
1,49.9,855157,128,6680.9,"needle_cuda_shared_1(int *, int *, int, int, int, int)",0.11,3.23,54.73,11.89,63.00,0.60
